seed,T_warmup,T_stat,B,P_min,P_max,KL_R_M_corr,KL_S_M_corr,KL_Mk_M_corr,KL_R_M_naive,KL_S_M_naive,KL_Mk_M_naive,delta_sigma_R_corr,delta_sigma_Mk_corr,delta_sigma_R_naive,delta_sigma_Mk_naive,Delta_kappa_corr,Delta_kappa_naive,K_R_nonempty,K_S_nonempty,K_M_nonempty,K_Mk_nonempty,laplace_bins_R,laplace_bins_S,laplace_bins_Mk,clip_events_R,clip_events_S,clip_events_M,clip_events_Mk
2018,5000,50000,64,0.000000000000,1.000000000000,0.159356348982,0.638962752991,0.505283686287,0.159354317732,0.638962753014,0.505283686303,-0.479606404009,-0.133679066704,-0.479608435282,-0.133679066711,0.345927337305,0.345929368571,38,59,51,57,0,8,6,0,0,0,0
2019,5000,50000,64,0.000000000000,1.000000000000,0.161125716656,0.766222028479,1.276072942711,0.161123372906,0.766222028498,1.276072942734,-0.605096311823,0.509850914232,-0.605098655592,0.509850914236,1.114947226055,1.114949569828,37,59,52,60,0,7,8,0,0,0,0
2020,5000,50000,64,0.000000000000,1.000000000000,0.146264186363,0.364765699896,0.840254572337,0.146261686363,0.364765699906,0.840254572357,-0.218501513533,0.475488872442,-0.218504013543,0.475488872450,0.693990385974,0.693992885994,35,55,51,58,0,4,7,0,0,0,0
2021,5000,50000,64,0.000000000000,1.000000000000,0.078949938579,0.074628346439,0.591132621221,0.078948063579,0.074628346443,0.591132621231,0.004321592140,0.516504274782,0.004319717135,0.516504274787,0.512182682642,0.512184557652,37,51,49,53,0,2,4,0,0,0,0
2022,5000,50000,64,0.000000000000,1.000000000000,0.148480318378,0.373115124513,0.920912361962,0.148477662128,0.373115124523,0.920912361979,-0.224634806135,0.547797237450,-0.224637462396,0.547797237456,0.772432043585,0.772434699852,35,56,52,58,0,4,6,0,0,0,0
2023,5000,50000,64,0.000000000000,1.000000000000,0.217104001747,0.768614076553,0.819406583026,0.217100564247,0.768614076573,0.819406583052,-0.551510074806,0.050792506473,-0.551513512326,0.050792506479,0.602302581279,0.602306018805,29,58,51,60,0,7,9,0,0,0,0
2024,5000,50000,64,0.000000000000,1.000000000000,0.195804255246,0.793177629438,0.956602706713,0.195801130246,0.793177629452,0.956602706730,-0.597373374192,0.163425077275,-0.597376499206,0.163425077278,0.760798451468,0.760801576484,32,57,52,58,0,5,6,0,0,0,0
2025,5000,50000,64,0.000000000000,1.000000000000,0.054302125838,0.227290498292,0.499973315208,0.054300407088,0.227290498299,0.499973315218,-0.172988372454,0.272682816916,-0.172990091211,0.272682816918,0.445671189369,0.445672908130,38,52,49,53,0,3,4,0,0,0,0
2026,5000,50000,64,0.000000000000,1.000000000000,0.150887599114,0.230129425090,0.521037915919,0.150885099114,0.230129425098,0.521037915933,-0.079241825976,0.290908490829,-0.079244325984,0.290908490835,0.370150316805,0.370152816819,36,55,52,57,0,3,5,0,0,0,0
2027,5000,50000,64,0.000000000000,1.000000000000,0.178160099646,0.668566916932,0.996715491029,0.178157130896,0.668566916949,0.996715491049,-0.490406817286,0.328148574097,-0.490409786052,0.328148574100,0.818555391383,0.818558360152,31,56,50,57,0,6,7,0,0,0,0
2028,5000,50000,64,0.000000000000,1.000000000000,0.183106886081,0.471396643395,0.966951423894,0.183104073581,0.471396643405,0.966951423911,-0.288289757313,0.495554780500,-0.288292569824,0.495554780505,0.783844537813,0.783847350330,34,56,52,58,0,4,6,0,0,0,0
2029,5000,50000,64,0.000000000000,1.000000000000,0.156418686012,1.154792912884,0.897870788002,0.156416029762,1.154792912912,0.897870788029,-0.998374226872,-0.256922124883,-0.998376883150,-0.256922124883,0.741452101989,0.741454758267,31,58,48,58,0,10,10,0,0,0,0
