seed,T_warmup,T_stat,B,P_min,P_max,KL_R_M_corr,KL_S_M_corr,KL_Mk_M_corr,KL_R_M_naive,KL_S_M_naive,KL_Mk_M_naive,delta_sigma_R_corr,delta_sigma_Mk_corr,delta_sigma_R_naive,delta_sigma_Mk_naive,Delta_kappa_corr,Delta_kappa_naive,K_R_nonempty,K_S_nonempty,K_M_nonempty,K_Mk_nonempty,laplace_bins_R,laplace_bins_S,laplace_bins_Mk,clip_events_R,clip_events_S,clip_events_M,clip_events_Mk
1500,5000,50000,64,0.000000000000,1.000000000000,0.166804169926,0.830676674916,1.000154092539,0.166801826176,0.830676674946,1.000154092570,-0.663872504990,0.169477417623,-0.663874848770,0.169477417623,0.833349922614,0.833352266394,38,63,53,63,0,10,10,0,0,0,0
1501,5000,50000,64,0.000000000000,1.000000000000,0.047634386524,0.174693435254,0.382529592388,0.047632355274,0.174693435266,0.382529592403,-0.127059048731,0.207836157133,-0.127061079993,0.207836157136,0.334895205864,0.334897237129,46,63,59,64,0,4,5,0,0,0,0
1502,5000,50000,64,0.000000000000,1.000000000000,0.096030965561,0.426022286132,0.431851617525,0.096029090561,0.426022286152,0.431851617539,-0.329991320570,0.005829331393,-0.329993195591,0.005829331387,0.335820651964,0.335822526978,43,62,55,60,0,7,5,0,0,0,0
1503,5000,50000,64,0.000000000000,1.000000000000,0.084806751448,0.319941419840,0.630161618858,0.084804407698,0.319941419857,0.630161618872,-0.235134668392,0.310220199018,-0.235137012160,0.310220199015,0.545354867410,0.545357211175,41,62,56,61,0,6,5,0,0,0,0
1504,5000,50000,64,0.000000000000,1.000000000000,0.079582796052,0.196660871291,0.582188001628,0.079580296052,0.196660871300,0.582188001646,-0.117078075239,0.385527130337,-0.117080575248,0.385527130346,0.502605205576,0.502607705594,42,61,58,64,0,3,6,0,0,0,0
1505,5000,50000,64,0.000000000000,1.000000000000,0.081687288218,0.317677884981,0.515650868570,0.081685100718,0.317677885008,0.515650868601,-0.235990596762,0.197972983589,-0.235992784290,0.197972983593,0.433963580351,0.433965767882,40,63,54,64,0,9,10,0,0,0,0
1506,5000,50000,64,0.000000000000,1.000000000000,0.171975873267,0.289907087745,0.511844638028,0.171973060767,0.289907087760,0.511844638046,-0.117931214478,0.221937550283,-0.117934026993,0.221937550286,0.339868764761,0.339871577279,38,61,56,62,0,5,6,0,0,0,0
1507,5000,50000,64,0.000000000000,1.000000000000,0.082395569036,0.366448478935,0.612431368964,0.082393069036,0.366448478960,0.612431368992,-0.284052909899,0.245982890029,-0.284055409923,0.245982890032,0.530035799928,0.530038299955,39,63,55,64,0,8,9,0,0,0,0
1508,5000,50000,64,0.000000000000,1.000000000000,0.236489100533,0.498495185519,0.746484983014,0.236485975533,0.498495185528,0.746484983029,-0.262006084986,0.247989797495,-0.262009209995,0.247989797501,0.509995882481,0.509999007496,38,61,58,63,0,3,5,0,0,0,0
1509,5000,50000,64,0.000000000000,1.000000000000,0.195984715426,0.343048674734,0.811775477038,0.195982684176,0.343048674748,0.811775477059,-0.147063959308,0.468726802304,-0.147065990573,0.468726802311,0.615790761612,0.615792792883,42,60,55,62,0,5,7,0,0,0,0
1510,5000,50000,64,0.000000000000,1.000000000000,0.083043793462,0.249135739173,0.640267556342,0.083041449712,0.249135739185,0.640267556360,-0.166091945711,0.391131817168,-0.166094289472,0.391131817175,0.557223762879,0.557226106647,41,60,56,62,0,4,6,0,0,0,0
1511,5000,50000,64,0.000000000000,1.000000000000,0.185291981924,1.059190211666,0.787732929070,0.185289325674,1.059190211711,0.787732929111,-0.873898229742,-0.271457282596,-0.873900886037,-0.271457282600,0.602440947146,0.602443603437,31,63,48,62,0,15,14,0,0,0,0
1512,5000,50000,64,0.000000000000,1.000000000000,0.084745751300,0.196473850180,0.560616677296,0.084743720050,0.196473850195,0.560616677314,-0.111728098880,0.364142827116,-0.111730130145,0.364142827119,0.475870925996,0.475872957264,44,62,57,63,0,5,6,0,0,0,0
1513,5000,50000,64,0.000000000000,1.000000000000,0.054062640097,0.126758423102,0.359287409734,0.054060921347,0.126758423113,0.359287409743,-0.072695783004,0.232528986633,-0.072697501766,0.232528986629,0.305224769637,0.305226488395,47,62,58,61,0,4,3,0,0,0,0
1514,5000,50000,64,0.000000000000,1.000000000000,0.128009445453,0.492099303212,0.583994609291,0.128006789203,0.492099303242,0.583994609325,-0.364089857759,0.091895306079,-0.364092514039,0.091895306083,0.455985163839,0.455987820122,36,63,53,64,0,10,11,0,0,0,0
1515,5000,50000,64,0.000000000000,1.000000000000,0.121580026008,0.209965587481,0.648605637922,0.121577682258,0.209965587502,0.648605637946,-0.088385561473,0.438640050441,-0.088387905244,0.438640050445,0.527025611914,0.527027955688,40,62,55,63,0,7,8,0,0,0,0
1516,5000,50000,64,0.000000000000,1.000000000000,0.139376129757,0.314557353459,0.670052695638,0.139373629757,0.314557353483,0.670052695666,-0.175181223702,0.355495342179,-0.175183723725,0.355495342183,0.530676565881,0.530679065908,38,62,54,63,0,8,9,0,0,0,0
1517,5000,50000,64,0.000000000000,1.000000000000,0.103929802955,0.364900826933,0.490100162963,0.103927146705,0.364900826947,0.490100162984,-0.260971023978,0.125199336030,-0.260973680242,0.125199336037,0.386170360008,0.386173016279,38,60,55,62,0,5,7,0,0,0,0
1518,5000,50000,64,0.000000000000,1.000000000000,0.169762517494,0.916228860935,1.073416151910,0.169759236244,0.916228860965,1.073416151940,-0.746466343441,0.157187290976,-0.746469624721,0.157187290976,0.903653634417,0.903656915696,31,62,52,62,0,10,10,0,0,0,0
1519,5000,50000,64,0.000000000000,1.000000000000,0.161429518903,0.412389017578,0.809693396597,0.161427331403,0.412389017589,0.809693396612,-0.250959498674,0.397304379020,-0.250961686186,0.397304379023,0.648263877694,0.648266065209,43,61,57,62,0,4,5,0,0,0,0
1520,5000,50000,64,0.000000000000,1.000000000000,0.183473315181,0.674477510949,0.998811624926,0.183470971431,0.674477510972,0.998811624950,-0.491004195768,0.324334113977,-0.491006539541,0.324334113977,0.815338309745,0.815340653518,38,61,53,61,0,8,8,0,0,0,0
1521,5000,50000,64,0.000000000000,1.000000000000,0.200859373300,0.236728386741,0.490407885619,0.200856248300,0.236728386747,0.490407885628,-0.035869013442,0.253679498877,-0.035872138447,0.253679498880,0.289548512319,0.289551637328,37,59,57,60,0,2,3,0,0,0,0
1522,5000,50000,64,0.000000000000,1.000000000000,0.143930592632,0.203796882005,0.491056433880,0.143927780132,0.203796882020,0.491056433897,-0.059866289373,0.287259551874,-0.059869101888,0.287259551878,0.347125841247,0.347128653765,38,61,56,62,0,5,6,0,0,0,0
1523,5000,50000,64,0.000000000000,1.000000000000,0.309384183726,0.271105924394,0.348946946582,0.309380589976,0.271105924409,0.348946946597,0.038278259332,0.077841022188,0.038274665567,0.077841022188,0.039562762856,0.039566356621,34,62,57,62,0,5,5,0,0,0,0
1524,5000,50000,64,0.000000000000,1.000000000000,0.064386578035,0.170471232881,0.503723222988,0.064384546785,0.170471232896,0.503723223006,-0.106084654846,0.333251990107,-0.106086686110,0.333251990110,0.439336644953,0.439338676221,44,62,57,63,0,5,6,0,0,0,0
1525,5000,50000,64,0.000000000000,1.000000000000,0.095774256357,0.334586062780,0.689868385706,0.095772068857,0.334586062788,0.689868385721,-0.238811806423,0.355282322926,-0.238813993931,0.355282322932,0.594094129349,0.594096316864,43,60,57,62,0,3,5,0,0,0,0
1526,5000,50000,64,0.000000000000,1.000000000000,0.180262705295,0.138570212546,0.496278912687,0.180259736545,0.138570212561,0.496278912708,0.041692492749,0.357708700141,0.041689523984,0.357708700148,0.316016207392,0.316019176164,38,62,57,64,0,5,7,0,0,0,0
1527,5000,50000,64,0.000000000000,1.000000000000,0.209183802737,0.310392975022,0.565598861097,0.209181146487,0.310392975031,0.565598861109,-0.101209172285,0.255205886075,-0.101211828544,0.255205886078,0.356415058360,0.356417714622,41,61,58,62,0,3,4,0,0,0,0
1528,5000,50000,64,0.000000000000,1.000000000000,0.063432715625,0.209650342657,0.556685157293,0.063430215625,0.209650342672,0.556685157315,-0.146217627032,0.347034814637,-0.146220127047,0.347034814643,0.493252441669,0.493254941690,41,62,57,64,0,5,7,0,0,0,0
1529,5000,50000,64,0.000000000000,1.000000000000,0.148996184951,0.892251510480,0.956639920419,0.148993684951,0.892251510515,0.956639920451,-0.743255325529,0.064388409939,-0.743257825564,0.064388409936,0.807643735468,0.807646235500,33,61,49,60,0,12,11,0,0,0,0
