agent,env_seed,horizon,grid_size,redistribution_mean,redistribution_std,redistribution_sum
B,1023,512,64,0.007281307661894847,0.0020869667693022486,3.7280295228901617
R,1023,512,64,0.006925238098905424,0.0021731275745622298,3.545721906639577
P,1023,512,64,0.001257522034909982,0.0008387770260194027,0.6438512818739108
A,1024,512,64,0.007769102008541648,0.002238727765526635,3.977780228373324
B,1024,512,64,0.007197848789909002,0.002142405713066696,3.685298580433409
R,1024,512,64,0.006843280568113005,0.002316086835781602,3.5037596508738584
P,1024,512,64,0.0020003617107298925,0.0013449610743867845,1.024185195893705
A,1025,512,64,0.00837706487631089,0.0021795234458003416,4.289057216671176
B,1025,512,64,0.007872948130673877,0.002174715859274371,4.030949442905025
R,1025,512,64,0.007466228913755604,0.0022021651885793868,3.8227092038428694
P,1025,512,64,0.0013548825797911929,0.0012459341766602938,0.6936998808530908
A,1026,512,64,0.009071301453443613,0.0024197524837175563,4.64450634416313
B,1026,512,64,0.007567483509068679,0.00217638826426163,3.874551556643164
R,1026,512,64,0.006993249056369246,0.0023980670867998896,3.580543516861054
P,1026,512,64,0.001605146151297482,0.001293428152459992,0.8218348294643107
A,1027,512,64,0.008089726565222572,0.0022794533045467705,4.141940001393957
B,1027,512,64,0.007140100899587852,0.0026530538639773274,3.6557316605889802
R,1027,512,64,0.0070547864224315155,0.002846000024910221,3.612050648284936
P,1027,512,64,0.0016590002335298323,0.0007421929638634578,0.8494081195672741
A,1028,512,64,0.008025399532580252,0.0024064893711529672,4.109004560681089
B,1028,512,64,0.008063133588966667,0.0022629312354461822,4.128324397550934
R,1028,512,64,0.0074896655114430315,0.002456913592521798,3.834708741858832
P,1028,512,64,0.002048775720900932,0.001807910259666029,1.0489731691012771
A,1029,512,64,0.006901179318254737,0.0025110245259389293,3.5334038109464254
B,1029,512,64,0.007558627007886605,0.0025046497273195035,3.8700170280379416
R,1029,512,64,0.007162797379647909,0.002714989905533792,3.6673522583797293
P,1029,512,64,0.0032549191665161136,0.0014597771861823497,1.6665186132562502
